city_name,hub_name,hub_id,product_id,product_name,category,new_catg,RM,RM_Category,order_type,sku_class,price,day,date,hub_type,sku_recency,flag,r7_plan,r7_inv,r7_plan_rev,r7_inv_rev,hub_dist,sampling_plan,sub_catg,Classification,AF.50,...1,rm_category,Cut_Classification,Xmas,...25,...26,RM_id,Original_city,GFD,Flag,RM_Id,Next.day,RM.Id,...24,product_id...8,product_id...9,Hub.SKU.Day,pr_o2hlatbhe9i,Indent.file,Buff,BasePlan,BaseRev,pr_io2l5gg3wmg,Correct_City,buffer_qty_at_upstream,...28
Chennai,POR,137,pr_57234c427648b,Chicken Curry Cut (Large - 8 to 10 Pieces),Chicken,Chicken,Chicken,,E,,179.0,Thursday,2023-09-14,Online,Old,,17,23,3043.0,4117.0,,,,Tail,Low Volume,,Chicken Curry Cut (Large),Chicken - CC,,,,,,,,,,,,,,,,,,,,,,,
NCR,CCS,21,pr_57235922d122e,Chicken Tikka (Boneless),Ready to Cook,Ready to Cook,Chicken,,E,Head,263.0,Wednesday,2023-02-22,Online,Old,,4,4,1052.0,1052.0,,,,VA-Head,High AF50,,Chicken,Chicken - BL,,,,,NCR,NA,,1.0,,,,,,,,,,,,,,,
Bangalore,JAK,12,pr_89lkrx2ojt1,Half - Sichuan Chilli Chicken,Ready to Cook,Ready to Cook,Chicken,,E,,178.0,Friday,2023-10-13,Online,Old,,2,2,356.0,356.0,,,,VA-Head,High Volume,,Chicken,Thigh,,,,,,,,,,,,,,,,,,,,,,,
Bangalore,KDB,130,pr_mxclhos42cv,Mutton Paya (Hooves),Lamb & Goat,Lamb & Goat,Lamb hoof,,E,,549.0,Saturday,2023-12-02,Online,Old,,7,10,3843.0,5490.0,,,,Tail,High Volume,,Goat carcass,Lamb & Goat,,,,,,,,,,,,,,,,,,,,,,,
Chandigarh,PCK,54,pr_5862691b058c4,Hariyali Fish Tikka,Ready to Cook,Ready to Cook,Basa,,E,Tail,290.0,Wednesday,2023-01-11,Online,Old,,1,1,290.0,290.0,,,,VA-Tail,Non AF50,,Basa,Fish & Seafood - Cubes/Fillet,,,,,,,,,,,,,,,,,,,,,,,
NCR,BKC,26,pr_6edl2ej2lvj,Crispy Chicken Burger Patty,Burger,Burger,Chicken,,E,,133.0,Tuesday,2023-05-02,Online,Old,,1,1,133.0,133.0,,,,VA-Torso,Low Volume,,Chicken,Trimmings,,,,,,,,,,,,,,,,,,,,,,,
Bangalore,KOM,8,pr_fmnkgtbiulu,Seer Medium - Thin Slices(Large Pack),Fish & Seafood,Fish & Seafood,Seer ( Medium ),,E,,1249.0,Sunday,2023-10-15,Online,Old,,0,0,0.0,0.0,,,,Tail,High Volume,,Seer,Fish & Seafood - Steaks,,,,,,,,,,,,,,,,,,,,,,,
Chennai,PLK,78,pr_gokmetyfiq,Sardine Extra Small Whole Cleaned,Fish & Seafood,Fish & Seafood,Sardine Extra Small,,E,Torso,269.0,Wednesday,2023-01-11,Online,Old,,0,0,0.0,0.0,,,,Tail,Non AF50,,Sardine,Small Fishes,,,,,,,,,,,,,,,,,,,,,,,
Mumbai,BOR,98,pr_n22llde3kfl,Kerala Mutton Stew,Ready to Cook,Ready to Cook,Goat carcass,,E,,1.0,Friday,2023-09-29,Online,Old,,2,3,2.0,3.0,,,,Tail,Low Volume,,Goat carcass,Lamb & Goat,,,,,,,,,,,,,,,,,,,,,,,
Chennai,Chennai,-1,pr_hr0l0brj2dj,"White Prawns (40-60C/Medium) - Cleaned & Deveined (Mini Pack, 10 Pcs)",Fish & Seafood,Fish & Seafood,Prawn medium (40 to 60 Count),,P,,179.0,Wednesday,2023-12-13,Online,Old,,0,0,0.0,0.0,,,,Tail,Low Volume,,Prawn,Prawn - Peeled & Deveined,,,,,,,,,,,,,,,,,,,,,,,
Kolkata,SDE,1412,pr_ek9l4pfihgs,Awadhi Mutton Biryani - Mini,Biryani,Biryani,Lamb carcass,,E,,312.0,Friday,2023-09-15,Online,Old,,0,0,0.0,0.0,,,,VA-Tail,Low Volume,,Goat carcass,Biryani,,,,,,,,,,,,,,,,,,,,,,,
Bangalore,SJR,3,pr_nvvktwxg5of,Basa - Finger Cut,Fish & Seafood,Fish & Seafood,Basa,,E,,299.0,Tuesday,2023-09-05,Online,Old,,3,4,897.0,1196.0,,,,Tail,High Volume,,Basa,Fish & Seafood - Cubes/Fillet,,,,,,,,,,,,,,,,,,,,,,,
Mumbai,VSH,65,pr_jzglix2h89q,Chicken Keema,Ready to Cook,Ready to Cook,Chicken,,E,,204.0,Friday,2023-12-01,Online,Old,,2,2,408.0,408.0,,,,VA-Tail,Low Volume,,Chicken,Trimmings,,,,,,,,,,,,,,,,,,,,,,,
Pune,WGH,93,pr_k7qlberc6pw,Stuffed Chicken Breast,Ready to Cook,Ready to Cook,Chicken Breast Boneless,,E,,356.0,Thursday,2023-09-07,Online,Old,,0,0,0.0,0.0,,,,VA-Tail,Low Volume,,Chicken,Chicken - BL,,,,,,,,,,,,,,,,,,,,,,,
Bangalore,SJR,3,pr_3lyki5xft44,Brown Eggs - Pack Of 12,Eggs,Eggs,Brown Eggs,,E,,189.0,Friday,2023-06-16,Online,Old,,6,6,1134.0,1134.0,,,,Head,High Volume,,Brown eggs,Eggs,,,,,,,,,,,,,,,,,,,,,,,
NCR,SPC,52,pr_8izjlf73pe9,Seer Medium - Curry Cut No Head,Fish & Seafood,Fish & Seafood,Seer ( Medium ),,E,Tail,1169.0,Sunday,2023-01-15,Online,Old,,0,0,0.0,0.0,,,,Tail,Low AF50,,Seer,Fish & Seafood - Curry Cuts,,,,,,,,,,,,,,,,,,,,,,,
NCR,EBONOI,-4,pr_4lal483r2ks,Chicken Drumstick - Pack Of 6,Chicken,Chicken,Chicken,,E,Tail,269.0,Monday,2023-03-06,EBO,Old,,3,3,807.0,807.0,,,,Tail,EBO,,Chicken,Drumstick,,,,,,,,,,,,,,,,,,,,,,,
Bangalore,Bangalore,-1,pr_4k3knokhxzw,Mourola - Whole,Fish & Seafood,Fish & Seafood,Mourola Fish Whole,,P,,155.0,Wednesday,2023-04-12,Online,Old,,0,0,0.0,0.0,,,,Tail,Low Volume,,Mourola Fish,Fish & Seafood - Whole,,,,,,,,,,,,,,,,,,,,,,,
Mumbai,KHGR,89,pr_nevkz8nlqgk,Goat Boneless 250g,Lamb & Goat,Lamb & Goat,Goat carcass,,E,Tail,459.0,Sunday,2023-03-26,Online,Old,,1,1,459.0,459.0,,,,Tail,Low AF50,,Goat carcass,Lamb & Goat - SFG,,,,,,,,,,,,,,,,,,,,,,,
Bangalore,KRP,108,pr_596601367dd0d,Sardine (Whole - Cleaned & Gutted),Fish & Seafood,Fish & Seafood,Sardine Medium,,E,,379.0,Saturday,2023-09-16,Online,Old,,6,8,2274.0,3032.0,,,,Target Group,High Volume,,Sardine,Small Fishes,,,,,,,,,,,,,,,,,,,,,,,
Bangalore,Indiranagar,4,pr_1puko17mted,Chunky Continental Egg Spread- 200 gms jar,Spreads,Others,Shawarma,,E,Tail,131.0,Sunday,2023-01-22,Online,Old,,0,0,0.0,0.0,,,,VA-Torso,High AF50,,NA,Spreads,,,,,,,,,,,,,,,,,,,,,,,
Kolkata,SNP,220,pr_4cyjya5ry5e,Chunky Butter Chicken Spread,Spreads,Others,Shawarma,,E,Head,193.0,Wednesday,2023-03-01,Online,Old,,9,9,1737.0,1737.0,,,,VA-Tail,Non AF50,,NA,Spreads,,,,,,,,2.0,,,,,,,,,,,,,,,
Chandigarh,CDG,53,pr_599441c9064f2,Freshwater Rohu Large - Bengali Cut No Head,Fish & Seafood,Fish & Seafood,Rohu - large,,E,,349.0,Monday,2023-10-09,Online,Old,,0,0,0.0,0.0,,,,Torso,Low Volume,,Rohu,Fish & Seafood - Curry Cuts,,,,,,,,,,,,,,,,,,,,,,,
NCR,ECS,19,pr_8jvklgaboqk,Chicken Malai Tikka,Kebab & Tandoor,Kebab & Tandoor,Chicken - Thigh Boneless,,E,,267.0,Sunday,2023-08-13,Online,Old,,4,4,1068.0,1068.0,,,,VA-Torso,High Volume,,Chicken,Kebab - Thigh,,,,,,,,,,,,,,,,,,,,,,,
Chennai,TNGR,95,pr_6okkq19dolz,"Brown Shrimp 70C-110C - Cleaned & Deveined, No Tail",Fish & Seafood,Fish & Seafood,Brown Shrimp ( 70 to 110 C ),,E,Tail,339.0,Tuesday,2023-02-07,Online,Old,,0,0,0.0,0.0,,,,Tail,Non AF50,,Brown Shrimp,Prawn - Peeled & Deveined,,,,,,,,,,,,,,,,,,,,,,,
Chennai,ECR,77,pr_ilvkadm3u2k,White Pomfret Medium - Steaks,Fish & Seafood,Fish & Seafood,White Pomfret Medium,,E,,879.0,Thursday,2023-04-13,Online,Old,,0,0,0.0,0.0,,,,Tail,High Volume,,White Pomfret,Fish & Seafood - Steaks,,,,,,,,,,,,,,,,,,,,,,,
Chennai,TNGR,95,pr_6zuk9iw9w8x,Emperor Medium - Steaks,Fish & Seafood,Fish & Seafood,Emperor ( Medium ),,E,,575.0,Monday,2023-11-20,Online,Old,,2,3,1150.0,1725.0,,,,Tail,Low Volume,,Emperor,Fish & Seafood - Steaks,,,,,,,,,,,,,,,,,,,,,,,
Bangalore,ZT,-2,pr_5785b9065d7e1,Chicken Curry Cut (Small - 13 to 16 Pieces),Chicken,Chicken,Chicken,,E,,179.0,Wednesday,2023-08-16,Merchant,Old,,208,208,37232.0,37232.0,,,,Tail,Merchant,,Chicken Curry Cut (Small),Chicken - CC,,,,,,,,,,,,,,,,,,,,,,,
Bangalore,KAM,2,pr_avakgtb7ywh,Chicken Curry Cut Large - Large Pack,Chicken,Chicken,Chicken,,E,Head,345.0,Thursday,2023-03-30,Online,Old,,20,28,6900.0,9660.0,,,,Torso,High Volume,,Chicken Curry Cut (Large),Chicken - CC,,,,,,,,,,,,,,,,,,,,,,,
Bangalore,KDB,130,pr_hoyl45e5s1d,Chili Garlic Chicken Lollipop,Ready to Cook,Ready to Cook,Chicken,,E,,178.0,Thursday,2023-12-07,Online,Old,,1,1,178.0,178.0,,,,VA-Tail,High Volume,,Chicken,Drummet,,,,,,,,,,,,,,,,,,,,,,,
NCR,BKC,26,pr_jwpjrt7u4tv,Peppery Chicken Salami,Cold Cuts,Cold Cuts,Chicken Cooked Salami,,E,,290.0,Sunday,2023-07-23,Online,Old,,3,3,870.0,870.0,,,,VA-Head,Low Volume,,Chicken Cooked Salami,Cold Cuts - All,,,,,,,,,,,,,,,,,,,,,,,
NCR,NGC,125,pr_fo7kiypcje5,Mutton Kapura Small,Lamb & Goat,Lamb & Goat,Mutton Kapura,,E,,249.0,Wednesday,2023-11-29,Online,Old,,0,0,0.0,0.0,,,,Tail,High Volume,,Lamb & Goat Offals,Lamb & Goat - Offals,,,,,,,,,,,,,,,,,,,,,,,
Hyderabad,Kondapur,17,pr_ikuk3im1dc7,Hyderabadi Mutton Shami Kebab,Kebab & Tandoor,Others,Lamb carcass,,E,Tail,307.0,Saturday,2023-02-11,Online,Old,,0,0,0.0,0.0,,,,VA-Tail,High AF50,,NA,Lamb & Goat,,,,,,,,,,,,,,,,,,,,,,,
Mumbai,MUL,80,pr_57887e4149c4f,Sunday Roast Chicken - Whole,Ready to Cook,Ready to Cook,Whole Chicken with Skin,,E,,428.0,Tuesday,2023-06-06,Online,Old,,0,0,0.0,0.0,,,,VA-Tail,Low Volume,,Chicken,Chicken - Whole,,,,,,,,,,,,,,,,,,,,,,,
NCR,NCR,-1,pr_78hkk6laiq0,Karrikadi Prawn 550C - (Cleaned and Deveined),Fish & Seafood,Fish & Seafood,Karrikadi Prawn ( 550 Count ),,P,Tail,365.0,Monday,2023-01-16,Online,Old,,0,0,0.0,0.0,,,,Tail,Non AF50,,Prawn,Prawn - Peeled & Deveined,,,,,,,,,,,,,,,,,,,,,,,
Mumbai,MLD,79,pr_as7ki5xe5ts,Classic Eggs - Pack Of 12,Eggs,Eggs,Classic egg,,E,,170.0,Saturday,2023-09-16,Online,Old,,54,54,9180.0,9180.0,,,,Head,High Volume,,Classic eggs,Eggs,,,,,,,,,,,,,,,,,,,,,,,
Chennai,POR,137,pr_12gl5b1q8yz,Chicken Tikka (Mini) - Boneless,Ready to Cook,Ready to Cook,Chicken,,E,,151.0,Thursday,2023-09-21,Online,Old,,0,0,0.0,0.0,,,,VA-Tail,Low Volume,,Chicken,Chicken - BL,,,,,,,,,,,,,,,,,,,,,,,
Hyderabad,Kondapur,17,pr_3lql5gg03d3,Classic Chicken Lyoner,Cold Cuts,Others,Classic Chicken Lyoner,,E,Torso,237.0,Monday,2023-02-20,Online,Old,,1,1,237.0,237.0,,,,VA-Tail,High AF50,,Chicken,Cold Cuts - All,,,,,Hyderabad,NA,,222.0,,,,,,,,,,,,,,,
Pune,KNDH,88,pr_blnkrc0nbpz,Pabda - Whole Cleaned & Gutted With Head,Fish & Seafood,Fish & Seafood,Pabda (Medium ),,E,Torso,399.0,Sunday,2023-01-29,Online,Old,,2,2,798.0,798.0,,,,Tail,Non AF50,,Pabda,Fish & Seafood - Whole,,,,,,,,,,24.0,,,,,,,,,,,,,
Kolkata,Kolkata,-1,pr_3loknh99af4,"Foli - Whole, Cleaned",Fish & Seafood,Fish & Seafood,Foli Fish Whole,,P,,259.0,Thursday,2023-10-19,Online,Old,,0,0,0.0,0.0,,,,Tail,Low Volume,,Foli Fish,Fish & Seafood - Whole,,,,,,,,,,,,,,,,,,,,,,,
Kochi,PDVA,263,pr_eq3lbgf566f,Chicken Keema - 250 gms (Mini Pack),Chicken,Chicken,Chicken,,E,Tail,169.0,Saturday,2023-03-11,Online,Old,,4,5,676.0,845.0,,,,Tail,Non AF50,,Chicken,Trimmings,,,,,,,,,,,,,,,,,,,,,,,
Jaipur,MTM,156,pr_ikuk3ilucko,Afghani Murgh Seekh Kebab,Kebab & Tandoor,Kebab & Tandoor,Chicken - Thigh Boneless,,E,,240.0,Monday,2023-10-09,Online,Old,,2,2,480.0,480.0,,,,VA-Head,Low Volume,,NA,Kebab - Thigh,,,,,,,,,,,,,,,,,,,,,,,
NCR,EBOVYP,-4,pr_nzjnn2oauf,Goat Boneless,Lamb & Goat,Lamb & Goat,Goat carcass,,E,,835.0,Wednesday,2023-07-19,EBO,Old,,0,0,0.0,0.0,,,,Tail,EBO,,Goat carcass,Lamb & Goat - SFG,,,,,,,,,,,,,,,,,,,,,,,
Bangalore,TUB,1,pr_599441c9064f2,Freshwater Rohu Large - Bengali Cut No Head,Fish & Seafood,Fish & Seafood,Rohu - large,,E,,325.0,Sunday,2023-09-03,Online,Old,,16,19,5200.0,6175.0,,,,Torso,High Volume,,Rohu,Fish & Seafood - Curry Cuts,,,,,,,,,,,,,,,,,,,,,,,
Mumbai,POW,64,pr_596601367dd0d,Sardine (Whole - Cleaned & Gutted),Fish & Seafood,Fish & Seafood,Sardine Medium,,E,,399.0,Sunday,2023-09-10,Online,Old,,3,4,1197.0,1596.0,,,,Target Group,High Volume,,Sardine,Small Fishes,,,,,,,,,,,,,,,,,,,,,,,
NCR,EDH,30,pr_jzglix2h89q,Home Style Chicken Curry,Ready to Cook,Ready to Cook,Chicken,,E,,204.0,Sunday,2023-07-16,Online,Old,,1,1,204.0,204.0,,,,Tail,Low Volume,,Chicken,Chicken - CC,,,,,,,,,,,,,,,,,,,,,,,
Pune,KNDH,88,pr_8hbl2ej264p,Classic Chicken Burger Patty,Burger,Burger,Chicken,,E,,151.0,Friday,2023-08-25,Online,Old,,1,1,151.0,151.0,,,,VA-Head,High Volume,,Chicken,Trimmings,,,,,,,,,,,,,,,,,,,,,,,
Bangalore,JAK,12,pr_57a85a7e4bb3a,Seer Large - Head and Tail,Fish & Seafood,Fish & Seafood,Seer ( Medium ),,E,,299.0,Thursday,2023-06-15,Online,Old,,1,1,299.0,299.0,,,,Tail,High Volume,,Seer,Fish & Seafood - SFG,,,,,,,,,,,,,,,,,,,,,,,
